,County,State,Total Population,Land Area (m^2),Population Density (per m^2),Median Gross Rent,Income per capita,"Less Than A High School Diploma, 2017-21","High School Diploma Only, 2017-21","Some College Or Associate'S Degree, 2017-21","Bachelor'S Degree Or Higher, 2017-21","Percent Of Adults With Less Than A High School Diploma, 2017-21","Percent Of Adults With A High School Diploma Only, 2017-21","Percent Of Adults Completing Some College Or Associate'S Degree, 2017-21","Percent Of Adults With A Bachelor'S Degree Or Higher, 2017-21",Estimate Of People Of All Ages In Poverty 2020,Estimated Percent Of People Of All Ages In Poverty 2020,Employed_2020,Unemployed_2020,Unemployment_Rate_2020,Median_Household_Income_2020,"County Household Median Income As A Percent Of The State Total Median Household Income, 2020"
0,Autauga,Alabama,55639.0,594.44,93.59901756274813,1011.0,29804.0,4126.0,12977.0,11367.0,11144.0,10.41550966829909,32.75862068965517,28.69440096935427,28.13146867269147,6242.0,11.2,24985.0,1420.0,5.4,67565.0,125.21776196300829
1,Baldwin,Alabama,218289.0,1589.78,137.30767779189574,1032.0,33751.0,14555.0,44342.0,50518.0,52562.0,8.985843669162906,27.37549158213821,31.1883785969613,32.45028615173759,20189.0,8.9,92751.0,6159.0,6.2,71135.0,131.83401905185514
2,Barbour,Alabama,25026.0,884.88,28.281800922158936,587.0,20074.0,4378.0,6600.0,5010.0,2007.0,24.32898027229786,36.67685468185607,27.84106696304529,11.15309808280078,5548.0,25.5,8004.0,676.0,7.8,38866.0,72.03009748322769
3,Bibb,Alabama,22374.0,622.58,35.93755019435253,693.0,22626.0,3125.0,7052.0,3967.0,1913.0,19.46191692096905,43.9185402005356,24.70573581615495,11.91380706234041,3549.0,17.8,8073.0,639.0,7.3,50907.0,94.34560213499388
4,Blount,Alabama,57755.0,644.78,89.5731877539626,666.0,25457.0,6650.0,14284.0,13673.0,6061.0,16.35192288777417,35.1234385757844,33.62102881872725,14.90360971771417,7525.0,13.1,23973.0,1143.0,4.6,55203.0,102.30735016123651
5,Bullock,Alabama,10173.0,622.81,16.334034456736404,559.0,20783.0,1540.0,2841.0,1692.0,804.0,22.39348553148175,41.3116184382725,24.60375163588774,11.69114439435801,2552.0,30.8,4582.0,295.0,6.0,33124.0,61.38848734200675
6,Butler,Alabama,19726.0,776.83,25.392943114967238,627.0,23415.0,1932.0,6050.0,3523.0,1879.0,14.43514644351464,45.20322773460849,26.32247459653317,14.03915122534369,3954.0,20.6,8345.0,891.0,9.6,42268.0,78.33500129730531
7,Calhoun,Alabama,114324.0,605.87,188.6939442454652,720.0,26238.0,11867.0,27783.0,24939.0,15674.0,14.78514383962723,34.61495334089182,31.07160210806972,19.52830071141124,15915.0,14.5,43367.0,3655.0,7.8,50259.0,93.14466807516958
8,Lewis,Kentucky,13345.0,482.84,27.638555214978048,491.0,18853.0,2091.0,4012.0,2246.0,808.0,22.83498962542317,43.81347602926723,24.5276837392159,8.823850606093698,2892.0,22.2,8502.0,709.0,7.7,43748.0,80.90394644376225
9,Lincoln,Kentucky,24493.0,334.1,73.31038611194252,604.0,21716.0,2962.0,7378.0,4141.0,2304.0,17.64670837056896,43.95591301757521,24.67083705689604,13.72654155495979,4434.0,18.4,3242.0,257.0,7.3,52994.0,98.00273699005068
