State,Area Name,"Less Than A High School Diploma, 2017-21","High School Diploma Only, 2017-21","Some College Or Associate'S Degree, 2017-21","Bachelor'S Degree Or Higher, 2017-21","Percent Of Adults With Less Than A High School Diploma, 2017-21","Percent Of Adults With A High School Diploma Only, 2017-21","Percent Of Adults Completing Some College Or Associate'S Degree, 2017-21","Percent Of Adults With A Bachelor'S Degree Or Higher, 2017-21",Estimate Of People Of All Ages In Poverty 2020,Estimated Percent Of People Of All Ages In Poverty 2020,Employed_2020,Unemployed_2020,Unemployment_Rate_2020,Median_Household_Income_2020,"County Household Median Income As A Percent Of The State Total Median Household Income, 2020"
AL,Autauga County,4126.0,12977.0,11367.0,11144.0,10.41550966829909,32.75862068965517,28.69440096935427,28.13146867269147,6242.0,11.2,24985.0,1420.0,5.4,67565.0,125.21776196300827
AL,Baldwin County,14555.0,44342.0,50518.0,52562.0,8.985843669162906,27.37549158213821,31.1883785969613,32.45028615173759,20189.0,8.9,92751.0,6159.0,6.2,71135.0,131.83401905185514
AL,Barbour County,4378.0,6600.0,5010.0,2007.0,24.32898027229786,36.67685468185607,27.84106696304529,11.15309808280078,5548.0,25.5,8004.0,676.0,7.8,38866.0,72.03009748322769
AL,Bibb County,3125.0,7052.0,3967.0,1913.0,19.46191692096905,43.9185402005356,24.70573581615495,11.91380706234041,3549.0,17.8,8073.0,639.0,7.3,50907.0,94.34560213499388
AL,Blount County,6650.0,14284.0,13673.0,6061.0,16.35192288777417,35.1234385757844,33.62102881872725,14.90360971771417,7525.0,13.1,23973.0,1143.0,4.6,55203.0,102.30735016123651
AL,Bullock County,1540.0,2841.0,1692.0,804.0,22.39348553148175,41.3116184382725,24.60375163588774,11.69114439435801,2552.0,30.8,4582.0,295.0,6.0,33124.0,61.38848734200675
AL,Butler County,1932.0,6050.0,3523.0,1879.0,14.43514644351464,45.20322773460849,26.32247459653317,14.03915122534369,3954.0,20.6,8345.0,891.0,9.6,42268.0,78.33500129730531
AL,Calhoun County,11867.0,27783.0,24939.0,15674.0,14.78514383962723,34.61495334089182,31.07160210806972,19.52830071141124,15915.0,14.5,43367.0,3655.0,7.8,50259.0,93.14466807516958
AL,Chambers County,4275.0,8996.0,8167.0,3390.0,17.21846302561624,36.23328500080554,32.89431287256323,13.65393910101498,5266.0,16.3,14884.0,1209.0,7.5,39318.0,72.8677860558212
AL,Cherokee County,3720.0,6809.0,5543.0,2364.0,20.17791277934476,36.93317422434367,30.06617487524409,12.82273812106748,3827.0,14.7,11073.0,599.0,5.1,50388.0,93.38374291115312
AL,Chilton County,5569.0,13113.0,7719.0,4133.0,18.23868474487457,42.94556887404205,25.28001572018078,13.5357306609026,6094.0,13.9,18839.0,1097.0,5.5,52693.0,97.65558397271951
AL,Choctaw County,1802.0,3477.0,2915.0,1087.0,19.41601120568904,37.46363538411808,31.40825342096757,11.7120999892253,2506.0,20.4,4351.0,348.0,7.4,41649.0,77.18781274324475
AL,Clarke County,2892.0,6740.0,4378.0,2259.0,17.7761386686336,41.42848361915299,26.91007437457742,13.885303337636,4471.0,19.5,7116.0,783.0,9.9,44178.0,81.8747915045035
AL,Clay County,1694.0,3813.0,3128.0,1334.0,16.99267729962885,38.24857056876317,31.37726953556024,13.38148259604775,1818.0,14.2,5865.0,275.0,4.5,44763.0,82.95896808628933
AL,Cleburne County,1789.0,3958.0,3082.0,1730.0,16.94289231934842,37.48461028506487,29.18837011080595,16.38412728478076,2099.0,14.2,5556.0,296.0,5.1,50134.0,92.91300641239482
AL,Coffee County,4934.0,10108.0,12919.0,8202.0,13.64377955368747,27.95122086110113,35.72435915161905,22.68064043359234,7303.0,13.9,20938.0,1070.0,4.9,54203.0,100.45405685903852
AL,Colbert County,5333.0,15244.0,12600.0,7213.0,13.20376330774944,37.74201535033424,31.19584055459272,17.85838078732359,7864.0,14.4,22152.0,1743.0,7.3,54185.0,100.42069757959895
AL,Conecuh County,1077.0,4200.0,2309.0,1079.0,12.42931332948644,48.47085978072706,26.64743219849971,12.45239469128679,2701.0,22.9,4214.0,368.0,8.0,34664.0,64.24255902739168
AL,Coosa County,1217.0,3410.0,2623.0,915.0,14.90508266993264,41.7636252296387,32.12492345376607,11.20636864666258,1808.0,17.4,4156.0,272.0,6.1,46509.0,86.19481819192706
AL,Covington County,3915.0,10037.0,8293.0,4176.0,14.81775860111275,37.98872109306991,31.38791113129707,15.80560917452027,6219.0,17.1,14500.0,842.0,5.5,43544.0,80.69980355090996
AL,Crenshaw County,1742.0,3882.0,2133.0,1524.0,18.76952914556621,41.82738928994721,22.98243723736666,16.42064432711992,2262.0,16.8,5971.0,400.0,6.3,45927.0,85.11620149004781
